yr,mnth,dy,Q,R
1978,1,1,950400,2.02643923240938
1978,1,2,1209600,2.57910447761194
1978,1,3,1123200,2.39488272921109
1978,1,4,1296000,2.76332622601279
1978,1,5,1555200,3.31599147121535
1978,1,6,1296000,2.76332622601279
1978,1,7,1036800,2.21066098081023
1978,1,8,1036800,2.21066098081023
1978,1,9,2419200,5.15820895522388
1978,1,10,1728000,3.68443496801706
1978,1,11,1209600,2.57910447761194
1978,1,12,950400,2.02643923240938
1978,1,13,950400,2.02643923240938
1978,1,14,950400,2.02643923240938
1978,1,15,950400,2.02643923240938
1978,1,16,2246400,4.78976545842217
1978,1,17,1209600,2.57910447761194
1978,1,18,1296000,2.76332622601279
1978,1,19,1036800,2.21066098081023
1978,1,20,1382400,2.94754797441365
1978,1,21,2937600,6.263539445629
1978,1,22,1296000,2.76332622601279
1978,1,23,950400,2.02643923240938
1978,1,24,1123200,2.39488272921109
1978,1,25,950400,2.02643923240938
1978,1,26,950400,2.02643923240938
1978,1,27,2073600,4.42132196162047
1978,1,28,2332800,4.97398720682303
1978,1,29,3715200,7.92153518123667
1978,1,30,1900800,4.05287846481876
1978,1,31,1209600,2.57910447761194
1978,2,1,1036800,2.21066098081023
1978,2,2,950400,2.02643923240938
1978,2,3,950400,2.02643923240938
1978,2,4,1036800,2.21066098081023
1978,2,5,950400,2.02643923240938
1978,2,6,1036800,2.21066098081023
1978,2,7,1036800,2.21066098081023
1978,2,8,1036800,2.21066098081023
1978,2,9,950400,2.02643923240938
1978,2,10,1296000,2.76332622601279
1978,2,11,2073600,4.42132196162047
1978,2,12,1036800,2.21066098081023
1978,2,13,950400,2.02643923240938
1978,2,14,950400,2.02643923240938
1978,2,15,1209600,2.57910447761194
1978,2,16,1814400,3.86865671641791
1978,2,17,2419200,5.15820895522388
1978,2,18,2851200,6.07931769722815
1978,2,19,1728000,3.68443496801706
1978,2,20,3024000,6.44776119402985
1978,2,21,3456000,7.36886993603412
1978,2,22,5443200,11.6059701492537
1978,2,23,2419200,5.15820895522388
1978,2,24,1814400,3.86865671641791
1978,2,25,3024000,6.44776119402985
1978,2,26,1814400,3.86865671641791
1978,2,27,1555200,3.31599147121535
1978,2,28,1900800,4.05287846481876
1978,3,1,1641600,3.5002132196162
1978,3,2,1468800,3.1317697228145
1978,3,3,1296000,2.76332622601279
1978,3,4,1382400,2.94754797441365
1978,3,5,1382400,2.94754797441365
1978,3,6,1468800,3.1317697228145
1978,3,7,1209600,2.57910447761194
1978,3,8,1123200,2.39488272921109
1978,3,9,1123200,2.39488272921109
1978,3,10,2764800,5.89509594882729
1978,3,11,2937600,6.263539445629
1978,3,12,1987200,4.23710021321962
1978,3,13,2073600,4.42132196162047
1978,3,14,2246400,4.78976545842217
1978,3,15,1987200,4.23710021321962
1978,3,16,1555200,3.31599147121535
1978,3,17,1382400,2.94754797441365
1978,3,18,1209600,2.57910447761194
1978,3,19,1209600,2.57910447761194
1978,3,20,1209600,2.57910447761194
1978,3,21,1382400,2.94754797441365
1978,3,22,1209600,2.57910447761194
1978,3,23,1209600,2.57910447761194
1978,3,24,1900800,4.05287846481876
1978,3,25,1728000,3.68443496801706
1978,3,26,1209600,2.57910447761194
1978,3,27,1468800,3.1317697228145
1978,3,28,1641600,3.5002132196162
1978,3,29,1382400,2.94754797441365
1978,3,30,1555200,3.31599147121535
1978,3,31,1900800,4.05287846481876
1978,4,1,1555200,3.31599147121535
1978,4,2,1468800,3.1317697228145
1978,4,3,1468800,3.1317697228145
1978,4,4,1728000,3.68443496801706
1978,4,5,1728000,3.68443496801706
1978,4,6,5356800,11.4217484008529
1978,4,7,5875200,12.527078891258
1978,4,8,9676800,20.6328358208955
1978,4,9,23932800,51.0294243070362
1978,4,10,15552000,33.1599147121535
1978,4,11,4579200,9.7637526652452
1978,4,12,2764800,5.89509594882729
1978,4,13,2073600,4.42132196162047
1978,4,14,1728000,3.68443496801706
1978,4,15,1641600,3.5002132196162
1978,4,16,1641600,3.5002132196162
1978,4,17,2073600,4.42132196162047
1978,4,18,2160000,4.60554371002132
1978,4,19,2073600,4.42132196162047
1978,4,20,1900800,4.05287846481876
1978,4,21,1900800,4.05287846481876
1978,4,22,1814400,3.86865671641791
1978,4,23,1900800,4.05287846481876
1978,4,24,1900800,4.05287846481876
1978,4,25,8985600,19.1590618336887
1978,4,26,8726400,18.6063965884861
1978,4,27,3369600,7.18464818763326
1978,4,28,2419200,5.15820895522388
1978,4,29,2160000,4.60554371002132
1978,4,30,6134400,13.0797441364606
1978,5,1,4320000,9.21108742004265
1978,5,2,2505600,5.34243070362473
1978,5,3,2332800,4.97398720682303
1978,5,4,3024000,6.44776119402985
1978,5,5,2851200,6.07931769722815
1978,5,6,2592000,5.52665245202559
1978,5,7,2073600,4.42132196162047
1978,5,8,1728000,3.68443496801706
1978,5,9,1900800,4.05287846481876
1978,5,10,2246400,4.78976545842217
1978,5,11,2419200,5.15820895522388
1978,5,12,2246400,4.78976545842217
1978,5,13,2764800,5.89509594882729
1978,5,14,3456000,7.36886993603412
1978,5,15,2851200,6.07931769722815
1978,5,16,2505600,5.34243070362473
1978,5,17,3024000,6.44776119402985
1978,5,18,2937600,6.263539445629
1978,5,19,2592000,5.52665245202559
1978,5,20,1987200,4.23710021321962
1978,5,21,2332800,4.97398720682303
1978,5,22,2937600,6.263539445629
1978,5,23,1641600,3.5002132196162
