river_mouth,TRMM_mn_mm_day,TRMM_DJFmn_mm_day,TRMM_MAMmn_mm_day,TRMM_JJAmn_mm_day,TRMM_SONmn_mm_day
10,3.049625,1.776115,4.160158,3.421024,2.814467
15,4.826029,4.197518,4.97857,4.490784,5.634448
17,4.66414,4.153327,4.669563,4.178126,5.658051
19,4.54748,4.030114,4.735546,4.052132,5.371397
21,4.488815,3.975662,4.683771,3.994562,5.300468
22,3.611588,3.265549,3.983521,3.082255,4.113697
26,2.7618,2.474486,3.216474,2.713278,2.636184
27,2.761733,2.474486,3.216474,2.713278,2.636184
33,2.633402,2.297009,3.246363,2.634007,2.346714
35,2.955941,2.003692,3.779976,3.327886,2.691427
36,2.951066,2.015814,3.759726,3.322925,2.684873
37,3.052588,2.206642,3.856599,3.335863,2.792182
38,3.05256,2.206642,3.856599,3.335863,2.792182
39,2.749485,1.996412,3.47264,2.97126,2.539799
41,2.749137,1.996398,3.472632,2.971259,2.539791
42,3.18083,1.30214,4.566745,3.32983,3.492424
44,2.842769,1.307567,4.045393,2.907966,3.083799
45,3.180717,1.30214,4.566745,3.32983,3.492424
47,2.56917,1.31196,3.623423,2.56652,2.753067
49,2.568956,1.31196,3.623423,2.56652,2.753067
4,2.460921,1.364257,3.343653,2.651042,2.463807
53,2.605797,1.333783,3.552015,2.717581,2.797927
54,2.605803,1.333783,3.552015,2.717581,2.797927
55,2.603359,1.332461,3.55634,2.708432,2.79521
59,2.599269,1.3305,3.534799,2.662884,2.847654
63,2.759488,1.326096,3.823804,2.620688,3.245622
65,2.423249,1.55568,3.15974,1.931634,3.036266
66,2.587611,1.324634,3.504039,2.565155,2.936503
6,2.52214,1.364115,3.469764,2.926206,2.304312
74,1.858444,1.616362,2.28185,1.387561,2.146742
76,1.903756,1.642531,2.25882,1.474219,2.238169
7,2.84634,1.622923,3.893705,3.229067,2.613766
8,2.520247,1.377239,3.466374,2.921212,2.291888
9,2.515618,1.373747,3.460301,2.916837,2.287313
