yr,mnth,dy,Q,R
1977,10,1,1209600,1.41473684210526
1977,10,2,1209600,1.41473684210526
1977,10,3,1296000,1.51578947368421
1977,10,4,1209600,1.41473684210526
1977,10,5,2592000,3.03157894736842
1977,10,6,1987200,2.32421052631579
1977,10,7,1728000,2.02105263157895
1977,10,8,1468800,1.71789473684211
1977,10,9,1296000,1.51578947368421
1977,10,10,1209600,1.41473684210526
1977,10,11,1123200,1.31368421052632
1977,10,12,950400,1.11157894736842
1977,10,13,950400,1.11157894736842
1977,10,14,950400,1.11157894736842
1977,10,15,1036800,1.21263157894737
1977,10,16,2160000,2.52631578947368
1977,10,17,2937600,3.43578947368421
1977,10,18,2592000,3.03157894736842
1977,10,19,1728000,2.02105263157895
1977,10,20,1728000,2.02105263157895
1977,10,21,1900800,2.22315789473684
1977,10,22,1987200,2.32421052631579
1977,10,23,1728000,2.02105263157895
1977,10,24,1728000,2.02105263157895
1977,10,25,1728000,2.02105263157895
1977,10,26,1641600,1.92
1977,10,27,1555200,1.81894736842105
1977,10,28,1641600,1.92
1977,10,29,1987200,2.32421052631579
1977,10,30,1728000,2.02105263157895
1977,10,31,1641600,1.92
1977,11,1,1555200,1.81894736842105
1977,11,2,1468800,1.71789473684211
1977,11,3,1555200,1.81894736842105
1977,11,4,1555200,1.81894736842105
1977,11,5,1555200,1.81894736842105
1977,11,6,1641600,1.92
1977,11,7,1987200,2.32421052631579
1977,11,8,1900800,2.22315789473684
1977,11,9,1987200,2.32421052631579
1977,11,10,1555200,1.81894736842105
1977,11,11,1728000,2.02105263157895
1977,11,12,1900800,2.22315789473684
1977,11,13,1728000,2.02105263157895
1977,11,14,1900800,2.22315789473684
1977,11,15,1814400,2.12210526315789
1977,11,16,1728000,2.02105263157895
1977,11,17,1641600,1.92
1977,11,18,1814400,2.12210526315789
1977,11,19,1641600,1.92
1977,11,20,1468800,1.71789473684211
1977,11,21,1468800,1.71789473684211
1977,11,22,1382400,1.61684210526316
1977,11,23,1296000,1.51578947368421
1977,11,24,1296000,1.51578947368421
1977,11,25,1728000,2.02105263157895
1977,11,26,1555200,1.81894736842105
1977,11,27,1641600,1.92
1977,11,28,1641600,1.92
1977,11,29,1641600,1.92
1977,11,30,1468800,1.71789473684211
1977,12,1,1296000,1.51578947368421
1977,12,2,1209600,1.41473684210526
1977,12,3,1209600,1.41473684210526
1977,12,4,1209600,1.41473684210526
1977,12,5,1209600,1.41473684210526
1977,12,6,1123200,1.31368421052632
1977,12,7,1123200,1.31368421052632
1977,12,8,1209600,1.41473684210526
1977,12,9,1209600,1.41473684210526
1977,12,10,1123200,1.31368421052632
1977,12,11,1209600,1.41473684210526
1977,12,12,1123200,1.31368421052632
1977,12,13,1036800,1.21263157894737
1977,12,14,1036800,1.21263157894737
1977,12,15,950400,1.11157894736842
1977,12,16,950400,1.11157894736842
1977,12,17,950400,1.11157894736842
1977,12,18,950400,1.11157894736842
1977,12,19,950400,1.11157894736842
1977,12,20,950400,1.11157894736842
1977,12,21,950400,1.11157894736842
1977,12,22,950400,1.11157894736842
1977,12,23,950400,1.11157894736842
1977,12,24,950400,1.11157894736842
1977,12,25,950400,1.11157894736842
1977,12,26,864000,1.01052631578947
1977,12,27,950400,1.11157894736842
1977,12,28,950400,1.11157894736842
1977,12,29,1036800,1.21263157894737
1977,12,30,1036800,1.21263157894737
1977,12,31,1123200,1.31368421052632
1978,1,1,1641600,1.92
1978,1,2,1728000,2.02105263157895
1978,1,3,1468800,1.71789473684211
1978,1,4,1209600,1.41473684210526
1978,1,5,1036800,1.21263157894737
1978,1,6,950400,1.11157894736842
1978,1,7,950400,1.11157894736842
1978,1,8,864000,1.01052631578947
1978,1,9,950400,1.11157894736842
1978,1,10,950400,1.11157894736842
1978,1,11,864000,1.01052631578947
1978,1,12,864000,1.01052631578947
1978,1,13,864000,1.01052631578947
1978,1,14,777600,0.909473684210526
1978,1,15,864000,1.01052631578947
1978,1,16,864000,1.01052631578947
1978,1,17,864000,1.01052631578947
1978,1,18,864000,1.01052631578947
1978,1,19,864000,1.01052631578947
1978,1,20,864000,1.01052631578947
1978,1,21,864000,1.01052631578947
1978,1,22,777600,0.909473684210526
1978,1,23,950400,1.11157894736842
1978,1,24,950400,1.11157894736842
1978,1,25,950400,1.11157894736842
1978,1,26,864000,1.01052631578947
1978,1,27,950400,1.11157894736842
1978,1,28,950400,1.11157894736842
1978,1,29,864000,1.01052631578947
1978,1,30,864000,1.01052631578947
1978,1,31,864000,1.01052631578947
1978,2,1,950400,1.11157894736842
1978,2,2,1036800,1.21263157894737
1978,2,3,1123200,1.31368421052632
1978,2,4,950400,1.11157894736842
1978,2,5,950400,1.11157894736842
1978,2,6,1036800,1.21263157894737
1978,2,7,1296000,1.51578947368421
1978,2,8,1209600,1.41473684210526
1978,2,9,1123200,1.31368421052632
1978,2,10,1123200,1.31368421052632
1978,2,11,1036800,1.21263157894737
1978,2,12,1296000,1.51578947368421
1978,2,13,1036800,1.21263157894737
1978,2,14,1209600,1.41473684210526
1978,2,15,1900800,2.22315789473684
1978,2,16,1814400,2.12210526315789
1978,2,17,1814400,2.12210526315789
1978,2,18,1468800,1.71789473684211
1978,2,19,1382400,1.61684210526316
1978,2,20,1382400,1.61684210526316
1978,2,21,1555200,1.81894736842105
1978,2,22,1468800,1.71789473684211
1978,2,23,1296000,1.51578947368421
1978,2,24,1209600,1.41473684210526
1978,2,25,1209600,1.41473684210526
1978,2,26,1123200,1.31368421052632
1978,2,27,1296000,1.51578947368421
1978,2,28,1468800,1.71789473684211
1978,3,1,1382400,1.61684210526316
1978,3,2,1296000,1.51578947368421
1978,3,3,1296000,1.51578947368421
1978,3,4,1296000,1.51578947368421
1978,3,5,1468800,1.71789473684211
1978,3,6,1382400,1.61684210526316
1978,3,7,1296000,1.51578947368421
1978,3,8,1296000,1.51578947368421
1978,3,9,1382400,1.61684210526316
1978,3,10,1468800,1.71789473684211
1978,3,11,1382400,1.61684210526316
1978,3,12,1296000,1.51578947368421
1978,3,13,1123200,1.31368421052632
1978,3,14,1036800,1.21263157894737
1978,3,15,1036800,1.21263157894737
1978,3,16,1123200,1.31368421052632
1978,3,17,1123200,1.31368421052632
1978,3,18,1036800,1.21263157894737
1978,3,19,1123200,1.31368421052632
1978,3,20,1209600,1.41473684210526
1978,3,21,1123200,1.31368421052632
1978,3,22,1123200,1.31368421052632
1978,3,23,1123200,1.31368421052632
1978,3,24,1382400,1.61684210526316
1978,3,25,1296000,1.51578947368421
