ID,Lat,Long,DA_km2,Q_m3_s,Length_dys,Start,End,minz,mnz,mdnz,maxz,z90,z95,z99,dist_from_sw_km,mean_runoff_mm_day,total_flow_m,event_flow,seasonal_flow_m,annual_flow_m,event_frac,seasonal_frac,annual_frac,DJF_mean_runoff_mm_day,MAM_mean_runoff_mm_day,JJA_mean_runoff_mm_day,SON_mean_runoff_mm_day,mnTRMM_mm_day,mnTRMM_djf_mm_day,mnTRMM_mam_mm_day,mnTRMM_jja_mm_day,mnTRMM_son_mm_day,djfS95,djfS99,ssnstd,pb0C_djf,pb0C_mam,pb0C_jja,pb0C_son,mean_T_djf,mean_T_mam,mean_T_jja,mean_T_son,max_T_djf,max_T_mam,max_T_jja,max_T_son,min_T_djf,min_T_mam,min_T_jja,min_T_son,ps_djf,ps_mam,ps_jja,ps_son,ps_total
6688800,40.7833,39.7167,855,26.23,3652,10/1/77 0:00,9/30/87 0:00,274.8655396,2150.876465,2280.138916,3371.489014,2913.69043,3013.172607,3151.820557,294.6995379,2.650168905,9.678416842,3.475098947,3.365456842,2.837861053,0.359056549,0.347728032,0.293215419,1.278058116,3.80419222,3.893382151,1.586637363,3.439006,3.495721,4.196287,2.50306,4.416258,90.81060791,92.18939209,35.57632446,89.98324704,26.76970838,0,0,-6.012864,2.746235,13.56049,6.055101,4.733333,11.13333,20.6,14.33333,-11.3,-3.3,8.666667,0.8666666,0.8883408,0.2780992,0,0,0.2906623
6690100,39.7667,41.8075,2549,22.56,3652,10/1/77 0:00,9/30/87 0:00,1736.93457,2215.375244,2170.769775,3160.797607,2549.560547,2680.918945,2853.421875,NaN,0.764610394,2.79235716,1.319489682,0.91233519,0.560532287,0.472536143,0.326725823,0.200738034,0.217465742,1.969300152,0.622979856,0.232203795,1.833451,1.725857,3.042294,1.014468,1.477303,92.69696808,93.81060791,38.34052277,100,5.010234676,0,0,-8.417686,2.3027,15.9525,6.623679,-7.633333,4.3,17.76667,8.233334,-10.13333,-1.766667,11.6,2.966666,1.000002,0.05463981,0,0,0.2578669
6983400,44.9233,37.9806,328,2.19,3620,1/1/78 0:00,12/31/87 0:00,20.68389511,225.1928101,218.4631653,618.3879395,376.3816528,420.343689,501.0404358,1.202298584,0.576601536,2.087297561,1.579697561,0.5076,0,0.75681474,0.24318526,0,1.404099292,0.816585366,0.045735728,0.031443639,2.155699,2.929621,1.768624,1.678987,2.091625,25.91666603,25.91666603,9.557868004,0,0,0,0,2.161772,9.953219,20.74263,11.86827,2.766666,11.03333,22.1,12.56667,1.066667,8.433333,19.1,10.56667,0,0,0,0,0
6983500,44.8506,38.6761,201,1.19,3652,1/1/78 0:00,12/31/87 0:00,31.16763306,241.1503143,187.274292,847.001709,483.572998,562.6176147,678.0620117,19.93785936,0.510477187,1.864262687,1.842770149,0.021492537,0,0.988471294,0.011528706,0,1.378667637,0.581232966,0.034107722,0.059990159,2.540579,3.327411,2.323572,2.113056,2.586266,30.96969604,37.88636398,10.81263065,0,0,0,0,2.033287,10.28258,20.80329,11.81527,2.6,11.33333,22.2,12.4,0.3,7.966667,18.4,9.900001,0,0,0,0,0
6983600,44.6308,39.13,765,16.78,3652,1/1/78 0:00,12/31/87 0:00,55,295.0693054,264.3305359,964.7231445,504.4599609,576.9894409,710.7520752,17.64928681,1.894764513,6.91968,5.918908235,1.00032,0.000451765,0.855373115,0.144561598,6.53E-05,4.449907395,2.233289003,0.228705882,0.704206852,3.110176,3.646993,2.730886,2.52958,3.46783,35.67424393,41.15909195,11.87809372,0,0,0,0,2.325187,10.56744,20.67061,12.0998,3.033334,11.56667,21.8,12.83333,0.8333333,8.1,18.06667,10.2,0,0,0,0,0
6983700,44.3044,40.0992,765,9.25,3286,1/1/78 0:00,12/31/87 0:00,240.6121368,728.6679688,501.4122925,2348.04834,1410.612305,1672.287354,2011.113403,40.0823941,1.044860549,3.433411765,1.987651765,1.046174118,0.399585882,0.578914474,0.304703947,0.116381579,1.050589686,1.637510656,0.975004263,0.510648567,3.698678,3.834587,3.577852,3.084523,4.066766,88.64393616,92.24242401,21.95918846,37.66648717,0,0,0,-0.1778833,8.694503,18.27011,9.910944,1.5,10.76667,20.43333,11.53333,-7.433333,0.4666667,10.66667,2.933333,0.4097061,0,0,0,0.106695
6983750,43.4439,41.7453,504,26.83,3652,1/1/78 0:00,12/31/87 0:00,1306.97168,2473.325195,2525.434814,3721.562256,3074.545898,3186.677246,3392.189941,9.648355556,4.599796589,16.79845714,6.134228571,8.7264,1.937828571,0.365166189,0.519476278,0.115357533,0.920240735,3.202360248,10.97124224,3.21833595,4.558369,3.559234,5.016014,4.077329,5.01059,94.24242401,94.24242401,30.44521904,100,51.53785679,0,12.37986747,-6.992163,-0.07361038,9.711267,2.584824,-3.566667,3.7,13.16667,6.066667,-11.96667,-5.866666,4.166667,-2.533333,0.9999385,0.5124782,0,0.1246773,0.3808352
6983800,43.8019,41.915,3800,75.46,3652,1/1/78 0:00,12/31/87 0:00,809.9907227,2215.406006,2158.151855,5277.42627,3082.387207,3223.176514,3474.244385,30.23400932,1.715822217,6.266182737,2.279823158,3.094620632,0.891738947,0.363829664,0.493860579,0.142309758,0.386072587,1.314584897,4.037049886,1.092792597,4.202266,3.047358,4.237524,4.010197,4.215978,93.67424011,94.24242401,28.48237801,100,34.87993041,0.238352076,12.33380487,-5.999492,1.069573,10.64078,3.481101,-2.266667,7.033333,16.63333,8.2,-21.16667,-15.43333,-5.033333,-11.43333,1.000001,0.384619,0.003498902,0.1393286,0.3384548
6984500,43.0367,44.6678,1490,31.52,3287,1/1/78 0:00,12/31/87 0:00,666.2158203,2487.231689,2568.985352,4967.376465,3410.599609,3618.16333,4092.912109,4.657633225,1.827556267,6.00717745,1.777752483,2.970246443,1.259178523,0.295938067,0.494449593,0.20961234,0.51788012,1.238867814,4.13007295,1.393377093,3.334911,2.31429,4.411858,3.930676,3.394458,94.5681839,95.33333588,32.52555847,100,62.32430028,0.412087176,27.10987026,-8.204067,-0.8313125,9.73845,2.516009,-0.8,9.400001,20,10.06667,-17.23333,-12.86667,-2.2,-8.066667,0.9999985,0.6637556,0.004367629,0.2926663,0.4437033
6984700,42.3867,46.9606,1850,13.45,3287,1/1/78 0:00,12/31/87 0:00,906.1057739,2396.241211,2376.502441,4033.551514,3259.731689,3425.530273,3668.937988,19.97075232,0.628035554,2.064352865,0.737155459,1.075656649,0.251540757,0.357087915,0.521062395,0.12184969,0.129237651,0.43160517,1.49239953,0.447296703,2.369201,1.208818,3.250996,3.010083,2.621257,95.62878418,96.34848785,24.27615929,100,41.00912088,0,17.34215261,-6.898408,0.8257439,10.99336,3.419066,-1.266667,8.833333,19.03333,9.966666,-13.46667,-7.5,3.866667,-3.233333,0.9999985,0.4863001,0,0.2159311,0.3313639
