grdc_id,minz,mnz,mdnz,maxz,z90,z95,z99,mnTRMM,djf_p_mn,mam_p_mn,jja_p_mn,son_p_mn,djfS95,djfS99,ssnstd,pb0C_djf,pb0C_mam,pb0C_jja,pb0C_son,mean_T_djf,mean_T_mam,mean_T_jja,mean_T_son,max_T_djf,max_T_mam,max_T_jja,max_T_son,min_T_djf,min_T_mam,min_T_jja,min_T_son,ps_djf,ps_mam,ps_jja,ps_son,ps_total
6688800,274.865539550781,2150.87646484375,2280.13891601562,3371.48901367188,2913.6904296875,3013.17260742188,3151.82055664062,3.439006,3.495721,4.196287,2.50306,4.416258,90.8106079101562,92.1893920898438,35.5763244628906,89.9832470445704,26.7697083849962,0,0,-6.012864,2.746235,13.56049,6.055101,4.733333,11.13333,20.6,14.33333,-11.3,-3.3,8.666667,0.8666666,0.8883408,0.2780992,0,0,0.2906623
6690100,1736.9345703125,2215.37524414062,2170.76977539062,3160.79760742188,2549.560546875,2680.9189453125,2853.421875,1.833451,1.725857,3.042294,1.014468,1.477303,92.6969680786133,93.8106079101562,38.3405227661133,100,5.01023467637247,0,0,-8.417686,2.3027,15.9525,6.623679,-7.633333,4.3,17.76667,8.233334,-10.13333,-1.766667,11.6,2.966666,1.000002,0.05463981,0,0,0.2578669
6983400,20.683895111084,225.192810058594,218.463165283203,618.387939453125,376.381652832031,420.343688964844,501.040435791016,2.155699,2.929621,1.768624,1.678987,2.091625,25.9166660308838,25.9166660308838,9.55786800384521,0,0,0,0,2.161772,9.953219,20.74263,11.86827,2.766666,11.03333,22.1,12.56667,1.066667,8.433333,19.1,10.56667,0,0,0,0,0
6983500,31.1676330566406,241.150314331055,187.274291992188,847.001708984375,483.572998046875,562.617614746094,678.06201171875,2.540579,3.327411,2.323572,2.113056,2.586266,30.9696960449219,37.8863639831543,10.8126306533813,0,0,0,0,2.033287,10.28258,20.80329,11.81527,2.6,11.33333,22.2,12.4,0.3,7.966667,18.4,9.900001,0,0,0,0,0
6983600,55,295.069305419922,264.330535888672,964.72314453125,504.4599609375,576.989440917969,710.752075195312,3.110176,3.646993,2.730886,2.52958,3.46783,35.674243927002,41.1590919494629,11.8780937194824,0,0,0,0,2.325187,10.56744,20.67061,12.0998,3.033334,11.56667,21.8,12.83333,0.8333333,8.1,18.06667,10.2,0,0,0,0,0
6983700,240.61213684082,728.66796875,501.412292480469,2348.04833984375,1410.6123046875,1672.28735351562,2011.11340332031,3.698678,3.834587,3.577852,3.084523,4.066766,88.6439361572266,92.2424240112305,21.9591884613037,37.6664871656794,0,0,0,-0.1778833,8.694503,18.27011,9.910944,1.5,10.76667,20.43333,11.53333,-7.433333,0.4666667,10.66667,2.933333,0.4097061,0,0,0,0.106695
6983750,1306.9716796875,2473.3251953125,2525.43481445312,3721.56225585938,3074.5458984375,3186.67724609375,3392.18994140625,4.558369,3.559234,5.016014,4.077329,5.01059,94.2424240112305,94.2424240112305,30.445219039917,100,51.537856787588,0,12.3798674731657,-6.992163,-0.07361038,9.711267,2.584824,-3.566667,3.7,13.16667,6.066667,-11.96667,-5.866666,4.166667,-2.533333,0.9999385,0.5124782,0,0.1246773,0.3808352
6983800,809.99072265625,2215.40600585938,2158.15185546875,5277.42626953125,3082.38720703125,3223.17651367188,3474.24438476562,4.202266,3.047358,4.237524,4.010197,4.215978,93.6742401123047,94.2424240112305,28.4823780059814,100,34.8799304106675,0.238352076376015,12.3338048699614,-5.999492,1.069573,10.64078,3.481101,-2.266667,7.033333,16.63333,8.2,-21.16667,-15.43333,-5.033333,-11.43333,1.000001,0.384619,0.003498902,0.1393286,0.3384548
6984100,120,335.702728271484,331.688354492188,677.838439941406,468.012908935547,508.707733154297,596.893432617188,1.851519,1.447228,2.058422,2.262111,1.59301,46.0909080505371,48.7651519775391,16.85182762146,100,0,0,0,-1.731941,9.631782,21.3776,10.16152,-1.166667,10.56667,22.53333,10.73333,-3.033334,7.9,19.4,8.633333,1.000002,0,0,0,0.1940844
6984300,255,603.275756835938,495.863525390625,2167.26220703125,1082.80407714844,1326.71508789062,1811.69641113281,2.21425,1.608294,2.372517,2.645253,1.962488,64.1818161010742,73.0909118652344,21.3290157318115,100,0,0,0,-2.575464,8.354708,19.27972,9.117883,-1.866667,9.633333,21.53333,10.16667,-5.5,1.833333,11.03333,4.1,1,0,0,0,0.1848441
