sample_name,nuclide,St_E_rate_g_cm2_yr,St_E_rate_m_Myr,St_Int_Unc,St_Ext_Unc,Lm_E_rate_g_cm2_yr,Lm_E_rate_m_Myr,Lm_Int_Unc,Lm_Ext_Unc,LSDn_E_rate_g_cm2_yr,LSDn_E_rate_m_Myr,LSDn_Int_Unc,LSDn_Ext_Unc
10315-1,Be-10 (qtz),0.0236,87.3,5.17,8.64,0.0237,87.6,5.18,8.39,0.0225,83.3,4.93,6.97
92215-1,Be-10 (qtz),0.0807,299,27.9,36.5,0.0797,295,27.5,35.3,0.0795,294,27.4,32.5
92315-1,Be-10 (qtz),0.0584,216,17.6,24.6,0.0581,215,17.5,23.9,0.0542,201,16.3,20.2
92315-3,Be-10 (qtz),0.233,864,92.5,115,0.228,845,90.5,110,0.225,834,89.3,102
92415-2,Be-10 (qtz),0.116,430,50.8,61.1,0.115,425,50.3,59.5,0.111,411,48.6,54.3
92415-3,Be-10 (qtz),0.0386,143,9.88,15,0.0383,142,9.81,14.5,0.0368,136,9.42,12.4
92515-1,Be-10 (qtz),0.0219,81.1,3.86,7.49,0.022,81.7,3.88,7.27,0.0206,76.3,3.63,5.8
92515-2,Be-10 (qtz),0.0238,88,5.02,8.59,0.0238,88.3,5.04,8.34,0.0227,83.9,4.79,6.9
92715-4,Be-10 (qtz),0.0162,59.8,30.9,31.3,0.0164,60.7,31.4,31.7,0.0159,58.8,30.4,30.6
93015-1,Be-10 (qtz),0.0305,113,4.25,9.9,0.0303,112,4.22,9.43,0.0301,111,4.19,7.81
93015-2,Be-10 (qtz),0.0124,45.7,1.49,3.93,0.0126,46.8,1.53,3.85,0.0124,45.9,1.5,3.11
CT15081,Be-10 (qtz),0.188,696,83,99.6,0.183,678,80.9,95.6,0.187,693,82.7,92.3
CT15123,Be-10 (qtz),0.0956,354,36,45.6,0.094,348,35.4,44,0.093,344,35,40.5
CT15125,Be-10 (qtz),0.0439,163,8.98,15.7,0.0434,161,8.86,15,0.0423,157,8.64,12.7
CT15131,Be-10 (qtz),0.00901,33.4,1.57,3.09,0.00928,34.4,1.62,3.06,0.00888,32.9,1.55,2.5
82916-1,Be-10 (qtz),0.0667,247,19.3,27.4,0.0656,243,19,26.3,0.0621,230,17.9,22.5
82916-3,Be-10 (qtz),0.258,957,133,153,0.249,923,128,145,0.244,903,125,136
82916-4,Be-10 (qtz),0.0596,221,13.2,21.9,0.0587,218,13,20.9,0.0554,205,12.3,17.3
83016-2,Be-10 (qtz),0.514,1900,446,471,0.481,1780,418,439,0.461,1710,401,413
83116-1,Be-10 (qtz),0.41,1520,323,344,0.389,1440,306,325,0.366,1360,288,299
10115-4,Be-10 (qtz),0.0783,290,21.7,31.5,0.0769,285,21.3,30.2,0.0741,274,20.5,26.1
90216-1,Be-10 (qtz),0.13,482,48.1,61.3,0.127,469,46.8,58.5,0.126,467,46.6,54.1
90216-2,Be-10 (qtz),1.51,5610,1990,2040,1.37,5080,1810,1850,1.26,4670,1660,1680
90216-3,Be-10 (qtz),0.508,1880,241,283,0.475,1760,225,261,0.453,1680,214,236
90416-1,Be-10 (qtz),1.56,5770,2520,2560,1.4,5200,2270,2310,1.3,4800,2100,2120
90516-1,Be-10 (qtz),0.299,1110,152,175,0.283,1050,144,164,0.279,1030,142,155
90516-3,Be-10 (qtz),0.321,1190,381,393,0.304,1120,361,370,0.294,1090,349,355
90616-1,Be-10 (qtz),0.356,1320,441,453,0.337,1250,417,428,0.322,1190,398,405
10215-2,Be-10 (qtz),0.395,1460,164,200,0.376,1390,156,187,0.364,1350,151,170
91416-1,Be-10 (qtz),0.757,2800,2860,2870,0.695,2570,2630,2630,0.636,2350,2400,2410
16AF01,Be-10 (qtz),0.0347,129,9.62,14,0.0343,127,9.5,13.5,0.0326,121,9.03,11.5
10215-3,Be-10 (qtz),0.0684,253,20.8,28.9,0.0676,250,20.5,27.8,0.0638,236,19.4,23.9
10215-4,Be-10 (qtz),0.102,378,29.3,41.8,0.101,372,28.8,40.1,0.0976,361,28,35.2
10215-5,Be-10 (qtz),0.203,753,46.1,75.3,0.198,732,44.8,70.9,0.199,739,45.3,62.8
