sample_name,nuclide,St_E_rate_g_cm2_yr,St_E_rate_m_Myr,St_Int_Unc,St_Ext_Unc,Lm_E_rate_g_cm2_yr,Lm_E_rate_m_Myr,Lm_Int_Unc,Lm_Ext_Unc,LSDn_E_rate_g_cm2_yr,LSDn_E_rate_m_Myr,LSDn_Int_Unc,LSDn_Ext_Unc
10315-1,Be-10 (qtz),0.0217,80.4,4.76,7.95,0.0218,80.8,4.78,7.74,0.0207,76.5,4.53,6.41
92215-1,Be-10 (qtz),0.0595,220,20.5,26.9,0.0589,218,20.3,26.1,0.0574,213,19.8,23.5
92315-1,Be-10 (qtz),0.0478,177,14.4,20.1,0.0477,177,14.4,19.6,0.044,163,13.3,16.4
92315-3,Be-10 (qtz),0.17,628,67.3,83.6,0.167,620,66.4,81,0.162,601,64.3,73.5
92415-2,Be-10 (qtz),0.0911,337,39.9,48,0.0904,335,39.6,46.9,0.0859,318,37.6,42
92415-3,Be-10 (qtz),0.0333,123,8.53,13,0.0332,123,8.5,12.6,0.0316,117,8.1,10.7
92515-1,Be-10 (qtz),0.0191,70.9,3.37,6.56,0.0194,71.7,3.41,6.39,0.018,66.7,3.17,5.07
92515-2,Be-10 (qtz),0.0208,76.9,4.39,7.51,0.0209,77.4,4.42,7.32,0.0197,73.1,4.17,6.02
92715-4,Be-10 (qtz),0.014,51.7,26.8,27.1,0.0142,52.7,27.3,27.6,0.0137,50.7,26.3,26.4
93015-1,Be-10 (qtz),0.0226,83.7,3.15,7.34,0.0227,83.9,3.16,7.06,0.0222,82.1,3.09,5.76
93015-2,Be-10 (qtz),0.0114,42.1,1.37,3.62,0.0117,43.2,1.41,3.56,0.0114,42.2,1.38,2.86
CT15081,Be-10 (qtz),0.16,594,70.9,85,0.157,581,69.4,82,0.159,587,70.1,78.2
CT15123,Be-10 (qtz),0.0789,292,29.7,37.6,0.0777,288,29.3,36.4,0.0758,281,28.5,33
CT15125,Be-10 (qtz),0.0362,134,7.41,13,0.0359,133,7.34,12.4,0.0347,128,7.09,10.4
CT15131,Be-10 (qtz),0.00828,30.7,1.44,2.84,0.00854,31.6,1.49,2.82,0.00814,30.1,1.42,2.29
82916-1,Be-10 (qtz),0.053,196,15.3,21.8,0.0524,194,15.2,21,0.0489,181,14.1,17.7
82916-3,Be-10 (qtz),0.177,656,90.9,105,0.173,641,88.7,101,0.166,613,85,92.4
82916-4,Be-10 (qtz),0.0484,179,10.7,17.8,0.0479,177,10.6,17,0.0445,165,9.89,13.9
83016-2,Be-10 (qtz),0.346,1280,300,317,0.33,1220,287,301,0.312,1160,271,280
83116-1,Be-10 (qtz),0.321,1190,253,270,0.308,1140,243,257,0.287,1060,226,235
10115-4,Be-10 (qtz),0.0549,203,15.2,22.1,0.0542,201,15,21.3,0.0511,189,14.1,18
90216-1,Be-10 (qtz),0.101,373,37.3,47.5,0.0985,365,36.4,45.5,0.0963,357,35.6,41.4
90216-2,Be-10 (qtz),1.15,4250,1510,1550,1.05,3890,1380,1410,0.961,3560,1270,1280
90216-3,Be-10 (qtz),0.377,1400,179,210,0.358,1330,170,197,0.338,1250,160,176
90416-1,Be-10 (qtz),0.908,3360,1470,1490,0.835,3090,1350,1370,0.765,2830,1240,1250
90516-1,Be-10 (qtz),0.205,758,104,120,0.197,731,100,114,0.191,709,97.3,106
90516-3,Be-10 (qtz),0.234,868,279,287,0.226,837,268,276,0.216,802,257,261
90616-1,Be-10 (qtz),0.263,974,326,335,0.254,940,315,322,0.241,892,299,303
10215-2,Be-10 (qtz),0.279,1030,116,142,0.27,1000,112,135,0.259,960,107,121
91416-1,Be-10 (qtz),0.612,2270,2310,2320,0.568,2100,2150,2150,0.517,1920,1960,1960
16AF01,Be-10 (qtz),0.0291,108,8.06,11.7,0.0289,107,8.01,11.4,0.0272,101,7.54,9.61
10215-3,Be-10 (qtz),0.0592,219,18,25,0.0587,217,17.8,24.2,0.055,204,16.7,20.6
10215-4,Be-10 (qtz),0.0754,279,21.6,30.9,0.0744,276,21.3,29.7,0.0706,262,20.3,25.5
10215-5,Be-10 (qtz),0.165,612,37.5,61.2,0.162,598,36.7,58,0.161,596,36.5,50.7
